geneid	a1	a2	a3	b1	b2	b3
"Zm00001d009952"	25.00	46.00	24.00	32.00	27.00	30.00
"Zm00001d009954"	372.00	313.00	287.00	488.00	423.00	355.00
"Zm00001d009958"	13.00	15.00	1.00	12.00	12.00	7.00
"Zm00001d009960"	59.00	90.00	25.69	821.00	819.00	397.00
"Zm00001d009961"	6.00	1.00	0.00	0.00	0.00	0.00
"Zm00001d009964"	5.00	1.00	0.00	4.00	8.00	2.00
"Zm00001d009965"	62.00	98.00	19.00	81.00	55.00	56.00
"Zm00001d009967"	1460.00	1495.00	1128.00	1964.00	2264.00	1856.00
"Zm00001d009969"	3.00	1.00	4.00	0.00	0.00	0.00
"Zm00001d009971"	29.00	46.00	38.00	394.00	630.00	483.00
"Zm00001d009975"	38.00	37.00	24.00	12.00	11.00	12.00
"Zm00001d009978"	195.00	192.00	190.00	225.00	306.00	237.00
"Zm00001d009983"	1701.00	1913.00	1754.00	2012.00	1601.00	1568.00
"Zm00001d009985"	1628.00	1524.00	3147.00	922.00	886.00	1005.00
"Zm00001d009987"	414.00	444.00	464.00	841.00	733.00	569.00
"Zm00001d009990"	350.00	326.00	411.00	895.00	988.00	728.00
"Zm00001d009993"	0.00	0.00	1.00	0.00	0.00	0.00
"Zm00001d009994"	0.00	1.00	0.00	0.00	1.00	0.00
"Zm00001d009997"	54.00	83.00	75.00	96.00	101.00	93.00
"Zm00001d009999"	30.00	24.00	14.00	296.00	234.00	309.00
"Zm00001d010000"	472.00	491.00	666.00	349.00	382.00	319.00
"Zm00001d010001"	21.00	19.00	2.00	14.00	3.00	5.00
"Zm00001d010005"	0.00	0.00	0.00	32.00	12.00	13.00
"Zm00001d010007"	299.00	416.00	279.00	840.00	932.00	632.00
"Zm00001d010008"	71.00	71.00	38.00	3.00	0.00	0.00
"Zm00001d010009"	384.00	517.00	466.00	506.00	588.00	433.00
"Zm00001d010012"	0.00	1.00	0.00	0.00	0.00	0.00
"Zm00001d010016"	261.00	294.00	188.00	569.00	700.00	460.00
"Zm00001d010018"	1.00	4.00	0.00	2.00	1.00	5.00
"Zm00001d010021"	243.00	322.00	318.00	349.00	356.00	275.00
"Zm00001d010023"	435.00	478.00	475.00	551.00	469.00	413.00
"Zm00001d010025"	3.00	0.00	0.00	0.00	0.00	0.00
"Zm00001d010026"	194.00	257.00	253.00	254.00	277.00	191.00
"Zm00001d010029"	63.00	86.00	61.00	266.43	218.00	176.71
"Zm00001d010030"	142.96	194.86	253.79	350.97	423.92	295.87
"Zm00001d010031"	8.59	15.00	11.00	85.15	73.15	77.02
"Zm00001d010032"	7.41	0.00	0.00	152.85	80.85	58.98
"Zm00001d010033"	33.00	32.00	22.00	86.00	94.00	48.00
"Zm00001d010038"	0.00	0.00	0.00	0.00	0.00	1.00
"Zm00001d010039"	252.00	451.00	308.00	184.00	109.00	109.00
"Zm00001d010040"	12.00	6.00	14.00	2.00	9.00	5.00
"Zm00001d010043"	6.00	4.00	2.00	12.00	19.00	12.00
"Zm00001d010044"	0.00	1.00	0.00	15.00	15.00	9.00
"Zm00001d010047"	74.00	79.00	70.00	93.00	110.00	92.00
"Zm00001d010048"	500.00	516.00	1260.00	483.00	643.00	579.00
"Zm00001d010049"	24.00	11.00	5.00	3.00	7.00	3.00
"Zm00001d010050"	93.00	139.00	102.00	421.00	289.00	236.00
"Zm00001d010052"	4.00	7.00	3.00	27.00	28.00	30.00
"Zm00001d010053"	65.00	81.00	111.00	422.00	467.00	307.00
"Zm00001d010054"	2393.00	2285.00	2527.00	2048.00	2313.00	1693.00
"Zm00001d010055"	181.00	179.00	465.00	351.00	403.00	321.00
"Zm00001d010056"	108.00	142.00	138.00	904.00	800.00	690.00
"Zm00001d010060"	242.00	293.00	226.00	190.00	163.00	204.00
"Zm00001d010061"	1219.00	1474.00	1285.00	469.00	527.00	309.00
"Zm00001d010062"	11.00	8.00	16.00	0.00	0.00	0.00
"Zm00001d010066"	28.00	56.00	24.00	81.00	50.00	78.00
"Zm00001d010067"	946.00	1071.00	600.00	648.00	622.00	447.00
"Zm00001d010068"	5.00	14.00	15.00	12.00	26.00	21.00
"Zm00001d010075"	146.00	113.00	1439.00	2700.00	2335.00	2151.00
"Zm00001d010079"	1834.00	2123.00	4055.00	1586.00	1480.00	1431.00
"Zm00001d010082"	727.00	894.61	701.00	1776.71	1437.06	1185.85
"Zm00001d010087"	3.00	1.00	1.00	0.00	0.00	0.00
"Zm00001d010094"	1.00	0.00	7.83	0.00	3.00	2.76
"Zm00001d010098"	0.00	0.00	0.00	0.00	0.00	1.12
"Zm00001d010099"	24.90	35.20	16.13	35.98	64.00	39.38
"Zm00001d010102"	4.00	0.50	0.17	1.00	2.00	11.61
"Zm00001d010103"	31.34	92.13	68.08	74.73	86.18	66.31
"Zm00001d010104"	95.82	32.99	125.01	11.48	43.48	58.11
"Zm00001d010105"	0.00	0.50	0.00	0.00	0.00	0.00
"Zm00001d010108"	3.00	1.00	7.00	1.00	4.00	7.00
"Zm00001d010109"	380.00	403.00	449.00	564.00	553.00	453.00
"Zm00001d010112"	0.00	0.00	2.00	1.00	0.00	0.00
"Zm00001d010115"	88.00	97.00	73.00	185.00	276.00	198.00
"Zm00001d010116"	3.00	6.00	0.00	40.00	38.00	21.00
"Zm00001d010120"	533.64	462.35	963.58	317.81	450.64	376.83
"Zm00001d010121"	6.86	3.23	5.00	247.22	101.22	97.84
"Zm00001d010126"	285.00	304.00	334.00	489.00	494.00	394.00
"Zm00001d010128"	2529.00	2854.00	3125.00	3728.00	4453.00	3114.00
"Zm00001d010129"	0.00	0.00	0.00	0.00	1.00	0.00
"Zm00001d010130"	0.00	0.00	0.00	0.00	0.00	1.00
"Zm00001d010131"	0.00	0.00	0.00	16.00	2.00	8.00
"Zm00001d010135"	96.00	100.00	90.00	343.00	327.00	220.00
"Zm00001d010136"	1.00	2.00	0.00	5.00	9.00	1.00
"Zm00001d010137"	410.00	546.00	345.00	2080.00	2209.00	1675.00
"Zm00001d010141"	175.00	274.00	223.00	582.00	602.00	445.00
"Zm00001d010143"	5.00	13.00	15.00	47.00	30.00	26.00
"Zm00001d010144"	0.00	0.00	10.00	8.00	3.00	0.00
"Zm00001d010145"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d010146"	175.35	213.15	117.95	443.94	364.86	367.70
"Zm00001d010149"	343.65	408.85	369.05	483.06	501.14	411.30
"Zm00001d010152"	713.44	738.93	870.74	646.58	765.99	607.79
"Zm00001d010159"	250.00	264.00	248.00	1004.00	1004.00	751.00
"Zm00001d010162"	190.56	197.07	207.26	211.42	197.01	192.21
"Zm00001d010168"	14.00	13.00	26.00	19.00	8.00	13.00
"Zm00001d010170"	0.00	0.00	0.00	4.00	14.00	2.00
"Zm00001d010171"	445.00	491.00	815.00	1519.00	2084.00	1658.00
"Zm00001d010172"	711.00	880.00	835.00	433.00	451.00	462.00
"Zm00001d010173"	82.00	89.00	60.00	222.00	231.00	182.00
"Zm00001d010174"	0.00	0.00	0.00	4.00	3.00	0.00
"Zm00001d010175"	13.00	14.00	24.00	503.00	430.00	556.00
"Zm00001d010178"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d010179"	13.00	9.00	5.00	1.00	1.00	0.00
"Zm00001d010180"	16.00	19.00	13.00	55.00	47.00	42.00
"Zm00001d010183"	23.00	22.00	5.00	34.00	34.00	27.00
"Zm00001d010189"	66.00	88.00	23.00	197.00	202.00	148.00
"Zm00001d010190"	172.00	189.00	154.00	441.00	488.00	360.00
"Zm00001d010191"	3.00	2.00	4.00	3.00	1.00	0.00
"Zm00001d010195"	38.00	56.00	29.00	124.00	160.00	97.00
"Zm00001d010196"	10.00	16.00	29.00	3.00	7.00	3.00
"Zm00001d010197"	26.00	46.00	27.00	665.00	669.00	487.00
"Zm00001d010198"	401.00	481.00	422.00	419.00	416.00	358.00
"Zm00001d010199"	118.00	141.00	148.00	259.00	283.00	250.00
"Zm00001d010200"	14.00	18.00	12.00	148.00	135.00	116.00
"Zm00001d010201"	324.00	370.00	968.00	529.00	780.00	899.00
"Zm00001d010202"	1.00	0.00	0.00	29.00	16.00	26.00
"Zm00001d010204"	1066.00	1134.00	2809.00	3614.00	4222.00	3329.00
"Zm00001d010206"	4.00	5.00	0.24	2.30	3.45	2.59
"Zm00001d010207"	7.00	16.00	9.76	51.70	70.55	32.41
"Zm00001d010209"	26.00	14.00	3.00	23.00	17.00	6.00
"Zm00001d010210"	186.00	206.00	249.00	185.00	199.00	137.00
"Zm00001d010211"	68.00	72.00	73.00	29.00	25.00	34.00
"Zm00001d010212"	4.00	7.00	5.00	2.00	0.00	1.00
"Zm00001d010213"	150.00	175.00	199.00	264.00	349.00	291.00
"Zm00001d010214"	882.00	1223.00	1280.00	794.00	703.00	768.00
"Zm00001d010216"	95.00	135.00	82.00	127.71	118.00	106.00
"Zm00001d010218"	0.00	0.00	4.00	20.00	22.00	15.00
"Zm00001d010220"	43.00	44.00	28.00	188.00	216.00	161.00
"Zm00001d010222"	47.00	39.00	23.00	52.00	32.00	22.00
"Zm00001d010225"	120.00	116.00	127.00	107.00	117.00	85.00
"Zm00001d010227"	1720.00	2059.00	3329.00	4407.00	5366.00	3956.00
"Zm00001d010228"	5.00	6.00	46.00	3.00	6.00	2.00
"Zm00001d010229"	16.00	18.00	6.00	32.00	50.00	34.00
"Zm00001d010230"	391.00	406.00	358.00	162.00	122.00	105.00
"Zm00001d010231"	1103.00	1180.00	1234.00	1203.00	1085.00	878.00
"Zm00001d010232"	1.00	0.00	0.00	3.00	1.00	5.00
"Zm00001d010233"	1.00	3.00	0.00	2.00	1.00	1.00
"Zm00001d010234"	636.00	700.00	572.00	595.00	595.00	489.00
"Zm00001d010235"	122.00	179.00	169.00	340.00	307.00	296.00
"Zm00001d010236"	593.00	609.00	604.00	1166.00	1138.00	935.00
"Zm00001d010239"	59.00	78.00	15.00	58.00	45.00	46.00
"Zm00001d010240"	1780.00	1949.00	1684.00	1589.00	1587.00	1398.00
"Zm00001d010241"	261.00	251.00	317.00	297.00	293.00	206.00
"Zm00001d010243"	286.00	314.00	1508.00	787.00	779.00	895.00
"Zm00001d010244"	81.00	65.00	319.00	116.00	233.00	202.00
"Zm00001d010247"	0.00	1.00	1.00	1.00	0.00	1.04
"Zm00001d010248"	863.00	1097.00	1116.00	1403.00	1556.00	1219.00
"Zm00001d010249"	0.00	0.00	0.00	2.00	0.00	0.00
"Zm00001d010251"	922.00	1080.00	1155.00	1569.00	1591.00	1225.00
"Zm00001d010255"	14.00	19.00	9.00	172.00	269.00	161.00
"Zm00001d010256"	6.00	9.00	20.00	9.00	12.00	9.00
"Zm00001d010258"	35.40	25.96	33.87	16.00	16.39	19.00
"Zm00001d010259"	307.00	330.00	232.00	870.66	722.87	601.48
"Zm00001d010260"	8.00	8.00	3.00	18.34	14.13	16.52
"Zm00001d010261"	230.00	192.00	319.00	212.00	342.00	237.00
"Zm00001d010262"	15.00	19.00	4.00	69.00	64.00	50.00
"Zm00001d010265"	4.00	14.00	9.00	3.00	2.00	8.00
"Zm00001d010266"	43.00	54.00	35.00	87.00	74.00	79.00
"Zm00001d010269"	53.00	60.00	102.00	262.00	232.00	202.00
"Zm00001d010271"	719.00	880.00	1811.00	1289.00	1007.00	1061.00
"Zm00001d010274"	260.00	305.00	346.00	439.00	463.00	440.00
"Zm00001d010280"	25.00	38.00	6.00	70.00	38.00	47.00
"Zm00001d010282"	418.00	477.00	326.00	738.00	759.00	588.00
"Zm00001d010284"	10.00	9.00	1.00	508.00	1620.00	533.00
"Zm00001d010287"	2.00	5.00	0.00	8.00	9.00	5.00
"Zm00001d010290"	894.00	1112.00	1139.00	1059.00	1214.00	870.00
"Zm00001d010292"	49.00	43.00	14.00	199.00	117.00	101.00
"Zm00001d010294"	105.00	144.00	172.00	121.00	143.00	124.00
"Zm00001d010300"	27.87	32.54	26.85	41.99	56.56	48.46
"Zm00001d010304"	65.00	103.00	79.00	29.00	26.00	22.00
"Zm00001d010305"	369.00	388.14	349.12	593.27	562.00	537.00
"Zm00001d010308"	157.00	251.00	310.00	1332.00	1300.00	1271.00
"Zm00001d010309"	311.00	355.00	461.00	774.00	914.00	551.00
"Zm00001d010313"	18.00	55.00	54.00	19.00	16.00	15.00
"Zm00001d010314"	2083.00	2574.00	1939.00	297.00	275.00	236.00
"Zm00001d010315"	363.00	434.00	475.00	494.00	417.00	375.00
"Zm00001d010319"	26.00	43.00	20.00	392.00	443.00	305.00
"Zm00001d010321"	6291.00	7238.00	6574.00	281.00	210.00	324.00
"Zm00001d010322"	271.00	281.00	377.00	330.00	496.00	355.00
"Zm00001d010324"	229.56	287.58	280.00	543.57	644.00	511.31
"Zm00001d010325"	76.00	85.00	90.00	153.00	253.00	129.00
"Zm00001d010329"	49.00	47.00	33.00	97.00	82.00	67.00
"Zm00001d010336"	1267.00	1349.00	1433.00	1127.00	1234.00	1026.00
"Zm00001d010337"	31.00	47.00	58.00	70.15	70.00	36.20
"Zm00001d010340"	45.00	47.00	29.00	143.00	128.00	116.00
"Zm00001d010341"	220.00	240.00	286.00	301.00	320.00	268.00
"Zm00001d010343"	70.00	87.00	71.00	40.00	28.00	24.00
"Zm00001d010358"	0.00	1.00	2.00	0.00	0.00	0.00
"Zm00001d010360"	38.00	25.00	32.00	4.00	11.00	8.00
"Zm00001d010366"	4.00	0.00	0.00	0.00	0.00	0.00
"Zm00001d010368"	488.00	591.00	626.00	355.00	404.00	370.00
"Zm00001d010371"	4.00	1.00	1.00	14.00	38.00	10.00
"Zm00001d010373"	11.00	20.00	20.00	4.00	1.00	2.00
"Zm00001d010375"	16.00	23.00	14.00	81.00	70.00	45.00
"Zm00001d010380"	216.00	337.00	104.00	43.00	26.00	28.00
"Zm00001d010381"	654.14	698.39	355.92	464.80	523.00	534.00
"Zm00001d010383"	0.00	2.00	0.00	0.00	0.00	1.00
"Zm00001d010385"	53.00	76.00	100.00	765.00	935.00	710.00
"Zm00001d010388"	28.00	6.00	36.00	14.00	16.00	16.00
"Zm00001d010394"	0.00	0.00	0.00	0.00	1.00	0.00
"Zm00001d010395"	364.00	456.00	463.00	346.00	478.00	301.00
"Zm00001d010397"	6.00	21.00	2.00	0.00	0.00	0.00
"Zm00001d010398"	0.00	0.00	0.00	1.00	0.00	2.00
"Zm00001d010399"	5020.00	5044.00	10822.00	10102.00	11345.00	10249.00
"Zm00001d010400"	0.00	0.00	0.00	1.29	0.00	0.00
"Zm00001d010401"	33.00	50.00	59.00	159.00	177.00	149.00
"Zm00001d010402"	3.00	3.00	0.00	18.00	17.00	29.00
"Zm00001d010403"	169.00	229.00	139.00	249.00	308.00	251.00
"Zm00001d010404"	0.00	0.00	0.00	1.00	0.00	2.00
"Zm00001d010406"	3.00	4.00	0.00	35.00	21.00	16.00
"Zm00001d010409"	0.00	3.00	5.00	0.00	0.00	0.00
"Zm00001d010410"	2203.00	2916.00	1469.00	956.00	1240.00	804.00
"Zm00001d010411"	1147.00	1352.00	1698.00	52.00	45.00	56.00
"Zm00001d010413"	544.00	646.00	684.00	869.00	944.00	749.00
"Zm00001d010416"	70.00	70.00	87.00	75.00	88.00	46.00
"Zm00001d010419"	0.00	0.00	0.00	0.00	0.00	1.00
"Zm00001d010420"	36.26	39.92	187.89	136.54	59.39	93.41
"Zm00001d010421"	346.74	270.08	1997.11	473.46	488.61	600.59
"Zm00001d010422"	1302.00	1394.00	888.00	14.00	10.00	11.00
"Zm00001d010424"	47.00	57.00	46.00	109.00	123.00	94.00
"Zm00001d010425"	664.00	677.00	922.00	638.00	818.00	660.00
"Zm00001d010426"	721.00	931.00	380.00	506.00	735.00	560.00
"Zm00001d010427"	3.00	5.00	0.00	3.78	5.93	1.00
"Zm00001d010428"	12.00	14.00	16.00	8.00	5.00	6.25
"Zm00001d010431"	114.00	127.00	85.00	333.00	346.00	225.00
"Zm00001d010434"	10.00	6.00	14.00	1.00	1.00	1.00
"Zm00001d010440"	524.00	440.00	554.00	132.00	38.00	72.00
"Zm00001d010442"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d010443"	11.00	18.00	13.00	44.00	58.00	41.00
"Zm00001d010445"	309.00	436.00	206.00	2437.00	2357.00	1962.00
"Zm00001d010446"	78.00	136.00	17.00	37.00	24.00	12.00
"Zm00001d010447"	50.00	56.00	63.00	68.00	86.00	53.00
"Zm00001d010448"	136.00	184.00	220.00	1109.00	1113.00	941.00
"Zm00001d010451"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d010452"	0.00	2.00	0.00	28.00	38.00	25.00
"Zm00001d010453"	0.00	3.00	1.00	58.89	96.88	75.75
"Zm00001d010454"	120.00	174.00	101.00	270.00	262.00	200.00
"Zm00001d010455"	81.00	88.00	72.00	163.00	214.00	166.00
"Zm00001d010456"	98.00	102.00	110.00	184.00	169.00	101.00
"Zm00001d010459"	0.00	1.00	1.00	14.00	22.00	7.00
"Zm00001d010461"	36.00	32.00	22.00	95.00	98.00	67.00
"Zm00001d010462"	2.00	1.00	2.00	1.00	3.00	2.00
"Zm00001d010463"	1378.00	1964.00	633.00	873.00	804.00	431.00
"Zm00001d010465"	1.00	0.00	0.00	2.00	1.00	0.00
"Zm00001d010466"	47.00	60.00	65.00	69.00	69.00	64.00
"Zm00001d010470"	227.00	246.00	275.00	418.00	314.00	309.00
"Zm00001d010476"	92.00	115.00	157.00	210.00	210.00	196.00
"Zm00001d010478"	147.00	189.00	244.00	804.00	786.00	654.00
"Zm00001d010480"	26.00	23.00	30.00	161.00	199.00	144.00
"Zm00001d010481"	59.00	69.00	52.00	52.00	55.00	50.00
"Zm00001d010482"	36.74	46.34	39.00	60.75	15.66	32.00
"Zm00001d010487"	1.07	2.57	9.42	1.38	1.01	1.00
"Zm00001d010488"	8.00	2.00	5.00	2.00	2.00	1.00
"Zm00001d010489"	0.00	0.00	0.00	0.00	0.00	1.00
"Zm00001d010490"	69.00	69.00	89.00	78.00	54.00	40.00
"Zm00001d010491"	360.00	356.00	323.00	575.00	673.00	515.00
"Zm00001d010492"	132.00	171.00	191.00	258.00	266.00	202.00
"Zm00001d010493"	272.00	287.00	278.00	377.00	426.00	304.00
"Zm00001d010494"	1.00	3.00	21.00	0.00	0.00	0.00
"Zm00001d010495"	41.00	32.00	43.00	58.00	59.00	52.00
"Zm00001d010497"	102.98	120.58	87.04	46.00	44.74	37.22
"Zm00001d010499"	474.00	550.00	506.00	56.00	87.00	63.00
"Zm00001d010500"	245.00	290.00	199.00	576.00	676.00	533.00
"Zm00001d010504"	551.00	739.00	686.00	1292.00	1408.00	1031.00
"Zm00001d010507"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d010510"	32.00	73.00	36.00	29.00	28.00	21.00
"Zm00001d010511"	12.00	22.00	3.00	11.00	7.00	6.00
"Zm00001d010512"	12.00	26.00	16.00	85.00	82.00	52.00
"Zm00001d010514"	0.00	1.00	0.00	2.00	4.00	2.00
"Zm00001d010516"	82.00	70.00	70.00	18.00	10.00	10.00
"Zm00001d010519"	47.00	63.00	55.00	227.00	241.00	154.00
"Zm00001d010520"	598.00	649.00	831.00	433.00	584.00	790.00
"Zm00001d010521"	2.00	5.00	0.00	30.00	16.00	21.00
"Zm00001d010522"	780.00	957.00	787.00	1694.00	1599.00	1301.00
"Zm00001d010523"	2767.00	3216.00	3002.00	1514.00	1712.00	1342.00
"Zm00001d010525"	1.00	2.00	3.00	55.00	50.00	38.00
"Zm00001d010526"	1.00	9.15	10.16	7.00	6.52	5.00
"Zm00001d010527"	46.00	38.00	33.00	43.00	31.00	49.00
"Zm00001d010528"	680.00	773.00	895.00	1092.00	1310.00	987.00
"Zm00001d010529"	3672.00	2837.00	3059.00	347.00	353.00	625.00
"Zm00001d010530"	386.00	442.00	594.00	455.00	450.00	389.00
"Zm00001d010534"	980.00	1112.00	1309.00	1176.00	1260.00	1009.00
"Zm00001d010535"	1077.00	1203.00	1123.00	2712.00	2994.00	2544.00
"Zm00001d010536"	709.00	851.00	1012.00	192.00	307.00	200.00
"Zm00001d010537"	152.00	164.00	233.00	246.00	251.00	213.00
"Zm00001d010538"	189.00	248.00	289.00	332.00	392.00	270.00
"Zm00001d010543"	3.00	10.00	9.00	70.00	53.00	100.00
"Zm00001d010545"	0.00	1.00	0.00	0.00	0.00	0.00
"Zm00001d010546"	231.00	244.00	252.00	262.00	267.00	242.00
"Zm00001d010547"	0.00	3.00	3.00	3.00	15.00	5.00
"Zm00001d010548"	0.00	1.00	4.00	0.00	0.00	0.00
"Zm00001d010556"	314.00	394.00	439.00	419.00	464.00	428.00
"Zm00001d010558"	28.00	17.00	31.00	6.00	12.00	8.00
"Zm00001d010560"	4.00	4.00	5.00	11.00	29.00	14.00
"Zm00001d010564"	80.55	82.00	95.25	200.00	191.00	149.00
"Zm00001d010566"	651.00	618.00	451.00	753.00	835.00	640.00
"Zm00001d010567"	57.00	82.00	90.00	160.00	148.00	160.00
"Zm00001d010568"	2.00	2.00	0.00	1.10	1.00	2.00
"Zm00001d010572"	438.00	494.00	516.00	1085.00	658.00	566.00
"Zm00001d010574"	53.00	52.00	38.00	81.00	78.00	55.00
"Zm00001d010575"	1.00	1.00	4.00	4.00	1.00	0.00
"Zm00001d010576"	15.00	15.00	11.00	30.00	27.00	29.00
"Zm00001d010577"	12.00	14.00	16.00	9.00	16.62	6.00
"Zm00001d010578"	38.00	45.00	40.00	36.00	38.00	28.00
"Zm00001d010579"	11.00	17.00	6.00	51.00	68.00	46.00
"Zm00001d010583"	271.00	293.00	421.00	318.00	500.00	382.00
"Zm00001d010584"	0.00	0.00	0.00	8.00	11.00	9.00
"Zm00001d010585"	184.00	272.00	201.00	462.00	354.00	341.00
"Zm00001d010586"	45.00	37.00	38.00	6.00	3.00	6.00
"Zm00001d010587"	2.00	2.00	0.00	23.00	17.00	9.00
"Zm00001d010588"	4.00	2.00	3.00	3.00	3.00	1.00
"Zm00001d010589"	259.00	260.00	358.00	263.00	350.00	341.00
"Zm00001d010590"	237.00	278.00	216.00	599.00	506.00	434.00
"Zm00001d010591"	2.00	1.00	0.00	0.00	1.00	0.00
"Zm00001d010592"	0.00	3.00	5.00	0.00	0.00	0.00
"Zm00001d010594"	49.00	53.00	209.00	41.00	77.00	66.00
"Zm00001d010596"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d010599"	617.00	1013.00	738.00	529.00	375.00	400.00
"Zm00001d010601"	0.00	0.00	1.00	1.00	1.00	2.00
"Zm00001d010602"	441.00	599.00	746.00	738.00	689.00	581.00
"Zm00001d010603"	753.00	817.00	705.00	794.00	844.00	737.00
"Zm00001d010604"	111.00	165.00	90.00	456.00	440.00	316.00
"Zm00001d010606"	537.88	702.00	680.91	680.00	505.00	502.00
"Zm00001d010607"	186.00	212.00	225.00	363.00	435.00	372.00
"Zm00001d010610"	1.00	9.00	3.00	7.00	1.00	5.00
"Zm00001d010611"	18.00	15.00	31.00	22.00	22.00	13.00
"Zm00001d010614"	2047.00	2268.00	2034.00	2591.00	3213.00	2320.00
"Zm00001d010615"	213.00	278.00	193.00	175.00	243.00	151.00
"Zm00001d010616"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d010617"	1.00	1.00	2.00	14.00	54.00	21.00
"Zm00001d010618"	1991.00	2182.00	2709.00	1675.00	2108.00	1525.00
"Zm00001d010619"	46.00	39.00	27.00	99.00	100.00	81.00
"Zm00001d010620"	15.00	14.00	19.00	36.00	31.00	31.00
"Zm00001d010621"	1.00	1.00	0.00	2.00	0.00	0.00
"Zm00001d010622"	50.00	67.00	63.00	190.00	196.00	147.00
"Zm00001d010625"	50.00	50.00	45.00	37.00	53.00	19.00
"Zm00001d010627"	204.00	285.00	153.00	8.00	12.00	10.00
"Zm00001d010628"	0.00	0.00	1.00	0.00	0.00	0.00
"Zm00001d010629"	0.00	2.00	0.00	1.00	2.00	1.00
"Zm00001d010630"	3.00	38.00	61.00	3.00	3.00	0.00
"Zm00001d010631"	1090.00	1215.00	1498.00	1127.00	1711.00	1213.00
"Zm00001d010632"	107.00	124.00	189.00	141.00	140.00	140.00
"Zm00001d010633"	0.00	3.00	0.00	2.00	6.00	2.00
"Zm00001d010634"	39.00	30.00	76.00	36.00	29.00	15.00
"Zm00001d010635"	60.00	102.00	98.00	178.00	214.00	214.00
"Zm00001d010638"	61.00	67.00	32.00	75.00	93.00	50.00
"Zm00001d010639"	158.00	151.00	354.00	431.00	371.00	389.00
"Zm00001d010640"	112.00	126.00	35.00	180.00	152.00	160.00
"Zm00001d010644"	15.00	27.00	9.00	222.00	121.00	96.00
"Zm00001d010646"	115.00	188.00	107.00	241.00	199.00	173.00
"Zm00001d010648"	32.01	30.58	48.01	23.00	19.56	15.00
"Zm00001d010649"	7.00	7.00	0.00	18.00	28.00	11.00
"Zm00001d010650"	87.00	70.00	84.00	140.00	180.00	130.00
"Zm00001d010651"	28.00	11.00	17.00	51.00	60.00	56.00
"Zm00001d010652"	828.00	742.00	671.00	310.00	599.00	897.00
"Zm00001d010653"	72.00	86.00	130.00	77.00	72.00	82.00
"Zm00001d010654"	91.12	139.00	70.33	114.19	124.11	90.29
"Zm00001d010656"	0.00	1.00	0.00	1.00	0.00	0.00
"Zm00001d010657"	0.00	1.00	0.00	0.00	0.00	0.00
"Zm00001d010658"	0.00	0.00	0.00	1.00	0.00	0.00
"Zm00001d010659"	0.00	5.00	1.00	0.00	0.00	0.00
"Zm00001d010661"	33.00	40.00	38.00	6.00	5.00	8.00
"Zm00001d010662"	245.00	343.00	103.00	472.00	384.00	447.00
"Zm00001d010667"	43.00	17.00	47.00	42.00	51.00	33.00
"Zm00001d010670"	5.00	0.00	0.00	37.00	38.00	18.00
"Zm00001d010671"	12.00	9.00	22.00	9.00	4.00	6.00
"Zm00001d010672"	2469.00	2576.00	3060.00	1483.00	1691.00	1295.00
"Zm00001d010673"	28.00	42.00	25.00	18.00	9.00	7.00
"Zm00001d010675"	19.00	22.00	40.00	48.00	74.00	65.00
"Zm00001d010676"	846.00	1051.00	789.00	44.00	30.00	40.00
"Zm00001d010678"	24.00	41.00	77.00	60.00	73.00	86.00
"Zm00001d010679"	47.00	45.00	25.00	112.00	105.00	67.00
"Zm00001d010684"	20.13	28.57	23.71	183.14	132.60	152.30
"Zm00001d010689"	2.00	5.00	1.00	0.00	4.00	5.00
"Zm00001d010690"	744.00	991.00	640.00	40.00	35.00	37.00
"Zm00001d010693"	207.00	276.00	256.00	139.00	154.00	94.00
"Zm00001d010698"	69.00	94.00	75.77	63.00	67.86	71.00
"Zm00001d010699"	0.00	0.00	2.23	0.00	1.14	0.00
"Zm00001d010700"	6.00	3.00	0.00	2.00	3.00	9.00
"Zm00001d010702"	1602.00	1746.00	2080.00	662.00	823.00	686.00
"Zm00001d010703"	3.00	2.00	3.00	4.00	2.00	4.00
"Zm00001d010704"	8.00	4.00	29.00	0.00	0.00	0.00
"Zm00001d010705"	12.00	14.00	0.00	55.00	49.00	34.00
"Zm00001d010710"	298.00	311.00	337.00	308.00	298.00	218.00
"Zm00001d010711"	205.00	207.00	241.00	149.00	209.00	162.00
"Zm00001d010713"	59.00	65.00	52.00	118.00	138.00	94.00
"Zm00001d010714"	62.00	81.00	61.00	315.00	305.00	279.00
"Zm00001d010715"	12032.00	12415.00	12938.00	2915.00	3761.00	2861.00
"Zm00001d010716"	806.00	883.00	1039.00	757.00	726.00	661.00
"Zm00001d010717"	0.00	0.00	0.00	0.00	0.00	1.00
"Zm00001d010719"	262.00	340.00	410.00	572.00	601.00	515.00
"Zm00001d010720"	219.00	247.00	242.00	599.00	506.00	374.00
"Zm00001d010722"	3.00	3.00	7.00	21.00	34.00	18.00
"Zm00001d010723"	57.00	41.00	58.00	148.00	169.00	136.00
