geneid	a1	a2	a3	b1	b2	b3
"ENSRNA049479871"	0.00	0.00	0.00	0.00	0.00	0.50
"ENSRNA049479875"	0.00	0.00	0.00	0.00	0.00	0.50
"ENSRNA049479884"	0.00	2.33	0.00	0.00	4.33	2.00
"ENSRNA049479889"	0.00	5.80	0.00	1.00	10.00	1.00
"ENSRNA049479895"	0.00	1.00	0.00	0.00	0.00	1.00
"ZeamMp002"	0.50	0.00	0.00	0.00	0.50	0.00
"ZeamMp004"	0.00	1.00	0.00	0.00	0.00	0.00
"ZeamMp007"	3.55	2.00	3.00	0.00	0.00	0.00
"ZeamMp008"	1.40	0.00	0.00	3.00	1.00	1.00
"ZeamMp009"	0.00	0.00	0.00	0.00	1.00	0.00
"ZeamMp010"	2.38	0.00	0.00	0.00	8.41	0.00
"ZeamMp011"	6.59	19.00	32.00	13.00	0.00	11.86
"ZeamMp018"	0.00	0.50	0.50	0.00	0.00	0.00
"ZeamMp020"	1.00	3.00	1.50	0.00	1.50	0.50
"ZeamMp021"	0.00	0.00	0.00	0.00	0.50	0.00
"ZeamMp022"	0.00	0.00	2.00	0.00	0.00	0.00
"ZeamMp023"	0.00	0.00	0.00	1.00	0.00	0.00
"ZeamMp024"	2.00	1.00	7.00	1.00	0.00	2.00
"ZeamMp030"	0.00	6.00	0.00	4.00	17.00	11.00
"ZeamMp032"	1.00	1.00	3.00	2.00	5.00	1.00
"ZeamMp036"	0.00	2.00	0.00	1.00	1.00	0.00
"ZeamMp043"	4.00	0.00	0.00	1.00	0.00	2.00
"ZeamMp044"	1.00	1.00	0.00	0.00	1.00	1.00
"ZeamMp045"	0.00	0.00	0.00	0.00	0.50	0.00
"ZeamMp046"	1.00	3.00	1.50	0.00	1.50	0.50
"ZeamMp047"	0.00	0.50	0.50	0.00	0.00	0.00
"ZeamMp050"	0.00	0.00	0.00	0.00	0.00	1.00
"ZeamMp051"	14.00	3.00	2.00	5.00	7.00	1.00
"ZeamMp053"	0.00	0.00	0.00	0.00	1.00	0.00
"ZeamMp057"	1.00	0.00	1.00	0.00	0.00	0.00
"ZeamMp058"	2.00	1.00	0.00	0.00	0.00	0.00
"ZeamMp064"	1.00	0.00	0.00	0.00	0.00	0.00
"ZeamMp067"	0.00	0.00	0.00	2.00	0.00	0.00
"ZeamMp073"	0.00	1.00	0.00	0.00	0.00	1.00
"ZeamMp078"	0.00	0.00	0.00	1.00	0.00	0.00
"ZeamMp079"	2.00	0.00	0.00	0.00	0.00	0.00
"ZeamMp081"	2.00	0.00	0.00	2.00	2.00	1.00
"ZeamMp084"	0.00	2.00	0.00	1.00	0.00	0.00
"ZeamMp085"	0.00	0.00	0.00	0.00	1.00	0.00
"ZeamMp086"	0.00	0.00	0.00	0.00	0.00	1.37
"ZeamMp087"	0.50	0.00	0.00	0.00	0.50	0.00
"ZeamMp088"	4.00	0.00	1.00	0.00	1.00	0.00
"ZeamMp091"	3.00	0.00	0.00	1.00	0.00	0.00
"ZeamMp092"	1.00	2.00	37.00	3.00	6.00	8.00
"ZeamMp094"	1.00	0.00	0.00	0.00	0.00	0.00
"ZeamMp095"	2.00	2.00	0.00	1.00	0.00	1.00
"ZeamMp096"	0.00	0.00	0.00	0.00	0.00	1.00
"ZeamMp097"	0.00	0.00	0.00	1.00	0.00	0.00
"ZeamMp098"	6.00	2.00	4.00	3.00	7.00	3.00
"ZeamMp101"	0.00	0.00	0.00	3.00	0.00	0.00
"ZeamMp107"	0.00	0.00	0.00	0.00	1.00	0.00
"ZeamMp108"	1.00	2.00	1.00	2.00	1.00	0.00
"ZeamMp110"	0.00	0.00	0.00	0.00	0.00	1.00
"ZeamMp112"	0.00	0.00	0.00	1.00	0.00	0.00
"ZeamMp113"	8.00	2.00	8.00	1.00	8.00	3.00
"ZeamMp115"	0.00	0.00	2.00	0.00	0.00	0.00
"ZeamMp116"	0.00	10.00	0.00	10.00	4.00	7.00
"ZeamMp117"	0.00	0.00	0.00	0.00	0.00	2.00
"ZeamMp119"	4.00	9.00	7.00	2.33	5.33	4.33
"ZeamMp120"	0.00	7.67	0.00	26.02	12.99	3.74
"ZeamMp127"	0.00	0.00	0.00	2.00	0.00	0.00
"ZeamMp129"	0.00	0.00	3.00	0.00	0.00	0.00
"ZeamMp130"	0.00	14.00	0.00	8.00	9.00	4.66
"ZeamMp131"	0.00	0.00	0.00	0.00	0.00	0.31
"ZeamMp134"	3.01	2.27	0.00	0.00	0.00	2.30
"ZeamMp136"	38.00	7.00	35.00	7.00	25.00	6.00
"ZeamMp137"	22.00	3.00	6.00	4.00	5.00	3.00
"ZeamMp145"	0.00	1.00	0.00	0.00	0.00	0.00
"ZeamMp155"	0.00	5.00	0.00	3.00	0.00	0.00
"ZeamMp156"	0.00	0.00	0.00	0.00	2.00	0.00
"ZeamMp157"	0.00	7.00	0.00	5.00	8.00	0.00
"ZeamMp158"	0.00	3.21	0.00	2.34	0.00	7.91
"ZeamMp159"	2.00	0.00	4.00	0.00	0.00	0.00
"ZeamMp161"	13.00	4.00	12.00	1.00	4.00	5.00
"ZeamMp163"	5.67	0.33	3.33	1.00	2.33	4.33
"ZeamMp164"	1.50	0.00	1.00	0.50	0.50	0.50
"ZeamMp167"	2.00	2.00	3.00	2.00	4.00	2.00
"ZeamMp170"	1.00	0.00	2.00	0.00	0.00	1.00
"ZeamMp171"	0.00	0.00	2.00	0.00	0.00	0.00
"ZeamMp174"	0.00	0.00	0.00	0.00	1.00	0.00
"ZeamMp175"	0.00	0.00	0.00	1.00	1.00	1.00
"ZeamMp176"	5.67	0.33	3.33	1.00	2.33	4.33
"ZeamMp177"	1.50	0.00	1.00	0.50	0.50	0.50
"ZeamMp178"	0.00	0.00	0.00	2.00	0.63	1.72
"ZeamMp179"	7.74	5.00	5.68	0.00	2.00	0.00
"ZeamMp180"	2.00	0.00	0.00	0.00	0.00	0.00
"ZeamMp182"	11.00	5.00	11.00	5.00	8.00	8.00
"ZeamMp183"	0.00	0.00	0.00	0.00	0.00	1.00
"ZeamMp184"	0.00	0.00	0.00	1.00	0.00	0.00
"ZeamMp185"	0.00	0.00	0.00	1.00	2.00	1.00
"ZeamMr001"	46.33	12973.53	2.59	9286.23	13774.55	15929.21
"ZeamMr002"	326.00	920.00	193.00	616.00	1233.00	978.00
"ZeamMr004"	0.00	356.79	0.00	246.66	410.00	421.09
"ZemaCp002"	785.68	45.94	261.10	39.98	72.50	80.13
"ZemaCp003"	13.00	12.00	17.00	14.00	13.00	12.00
"ZemaCp004"	1.36	0.00	0.00	0.00	0.00	1.00
"ZemaCp008"	127.00	32.00	82.00	28.00	34.00	26.00
"ZemaCp013"	0.00	1.00	5.90	9.16	4.78	3.76
"ZemaCp014"	3.09	7.61	7.66	3.00	0.00	2.27
"ZemaCp016"	17.36	23.09	84.55	7.98	20.33	17.24
"ZemaCp018"	17.13	8.64	0.00	0.00	3.65	0.53
"ZemaCp019"	12.92	9.97	11.00	1.14	3.92	1.19
"ZemaCp020"	42.38	57.32	72.80	73.95	39.85	87.34
"ZemaCp021"	26.00	7.00	30.00	7.00	8.00	9.00
